Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3]
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196770,Calanus marshallae,C5,33,0.125,118.9,2.2204,2672.2,7.5,1340.42,2.9762
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196770,Calanus marshallae,C6 AF,1,0.125,118.9,0.0673,3251.2,0,2436.05,0.1639
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196770,Calanus marshallae,C6 AM,1,0.125,118.9,0.0673,2937.7,0,1772.22,0.1192
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196771,Calanus pacificus,C5,5,0.125,118.9,0.3364,1812,6.1,401.47,0.1351
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196771,Calanus pacificus,C6 AF,1,0.125,118.9,0.0673,2037.5,0,580.83,0.0391
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196771,Calanus pacificus,C6 AM,10,0.125,118.9,0.6728,1979.9,2.4,530.34,0.3568
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104470,Neocalanus cristatus,C4,2,1,118.9,0.0168,4080.5,5.1,3871.54,0.0651
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104470,Neocalanus cristatus,C5,1,1,118.9,0.0084,6188.3,0,12987.71,0.1092
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,353708,Neocalanus flemingeri,C5,1,1,118.9,0.0084,3080.1,0,1940.7,0.0163
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196772,Neocalanus plumchrus,C5,5,1,118.9,0.0421,3879.5,4.3,3417.53,0.1437
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196774,Centropages abdominalis,C6 AF,1,0.25,118.9,0.0336,1293.2,0,244.12,0.0082
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104165,Pseudocalanus,C4,1,0.125,118.9,0.0673,701.7,0,20.51,0.0014
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104165,Pseudocalanus,C6 AF,1,0.125,118.9,0.0673,940.7,0,51.76,0.0035
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196775,Eucalanus bungii,C3,16,0.125,118.9,1.0765,2656.9,6.2,445.68,0.4798
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196775,Eucalanus bungii,C4,29,0.125,118.9,1.9512,3561.7,4.4,1103.85,2.1539
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196775,Eucalanus bungii,C5,2,0.125,118.9,0.1346,4774.8,7.1,2755.38,0.3708
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196779,Paraeuchaeta elongata,C5,2,1,118.9,0.0168,3892.4,1.4,4907.6,0.0826
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196779,Paraeuchaeta elongata,C6 AF,2,1,118.9,0.0168,4561.3,0.8,8205.56,0.1380
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196779,Paraeuchaeta elongata,C2,2,0.125,118.9,0.1346,1397.1,2.5,177.08,0.0238
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196783,Metridia okhotensis,C5,58,0.125,118.9,3.9024,1860.8,6.4,675.34,2.6355
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196784,Metridia pacifica,C5,56,0.0625,118.9,7.5357,1403.5,10.2,258.1,1.9450
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196784,Metridia pacifica,C6 AF,177,0.0625,118.9,23.8183,1846.4,8.2,593.3,14.1315
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196784,Metridia pacifica,C6 AM,3,0.0625,118.9,0.4037,1319.4,4.9,207.48,0.0838
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196782,Heterorhabdus tanneri,C6 AF,3,0.25,118.9,0.1009,2726.6,7.4,1849.64,0.1867
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,157737,Oithona spinirostris,C6 AF,4,0.125,118.9,0.2691,759.5,6.1,62.62,0.0169
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104811,Scolecithricella minor,C6 AM,1,0.125,118.9,0.0673,986,0,69.62,0.0047
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,349800,Candacia columbiae,C6 AF,2,1,118.9,0.0168,3277.7,7.1,3461.18,0.0582
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,105440,Parasagitta elegans, ,36,0.5,118.9,0.6056,13828.3,25.9,5087.64,3.0808
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,105440,Parasagitta elegans, ,51,1,118.9,0.4289,23582.8,7.2,22411.75,9.6131
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,105416,Eukrohnia hamata, ,2,0.5,118.9,0.0336,10347.2,1.9,1348.27,0.0454
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,139178,Clione limacina, ,6,1,118.9,0.0505,3551.4,62,6570.56,0.3316
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,140223,Limacina helicina, ,6,0.5,118.9,0.1009,1175,15.3,423.04,0.0427
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,140223,Limacina helicina, ,5,1,118.9,0.0421,1794.9,8.4,1382.31,0.0581
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,103256,Hyperoche medusarum, ,1,1,118.9,0.0084,4722.4,0,3721.9,0.0313
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,254453,Themisto pacifica, ,29,0.25,118.9,0.9756,3589,24.7,2026.15,1.9767
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,254453,Themisto pacifica, ,49,1,118.9,0.4121,5512.9,8.8,6076.48,2.5042
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,428630,Cyphocaris challengeri, ,17,0.5,118.9,0.2860,3888.1,21.9,1613.44,0.4614
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,428630,Cyphocaris challengeri, ,9,1,118.9,0.0757,9578.8,16.5,21420.68,1.6214
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,180759,Primno macropa, ,4,1,118.9,0.0336,2285.8,17.2,439.73,0.0148
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,106777,Hippolytidae,Zoea,4,1,118.9,0.0336,5018.5,5.2,1718.71,0.0578
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,106738,Paguridae,Zoea,1,1,118.9,0.0084,782.5,0,247.77,0.0021
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1128,Euphausiacea,Calyptopis,2,0.125,118.9,0.1346,2487.5,9,161.79,0.0218
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1128,Euphausiacea,Furcilia,22,0.125,118.9,1.4802,3620.6,18.3,388.65,0.5753
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237851,Euphausia pacifica,Juvenile,3,0.5,118.9,0.0505,4942.3,12.9,1573.98,0.0794
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237873,Thysanoessa longipes,Juvenile,2,1,118.9,0.0168,10563.9,21.6,20478.1,0.3445
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,110711,Thysanoessa raschii,Juvenile,1,1,118.9,0.0084,12222.5,0,29695.19,0.2497
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237874,Thysanoessa spinifera,AF,1,1,118.9,0.0084,16253.7,0,78122.53,0.6570
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237874,Thysanoessa spinifera,AM,4,1,118.9,0.0336,16978,3.5,89802.46,3.0211
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,110708,Thysanoessa inermis,Juvenile,3,1,118.9,0.0252,10358.5,4,17455.2,0.4404
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,127482,Halocyprididae, ,23,0.5,118.9,0.3869,1679.7,12.8,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,883,Polychaeta,Larvae,1,0.25,118.9,0.0336,1595.6,0,60.25,0.0020
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1082,Cirripedia,Nauplius,1,0.25,118.9,0.0336,731.2,0,26.46,0.0009
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,101,Gastropoda, ,1,0.5,118.9,0.0168,713.1,0,98.14,0.0017
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1371,Siphonophorae,Nectophore,10,0.125,118.9,0.6728,3613.8,55.1,3633.6,2.4448
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1371,Siphonophorae,Athorybia larvae,1,0.5,118.9,0.0168,3599.9,0,1640.32,0.0276
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1371,Siphonophorae,Bract,4,0.125,118.9,0.2691,3387.8,10,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,10194,Actinopterygii,Juvenile,1,1,118.9,0.0084,16766.2,0,18132.87,0.1525
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,514245,Pasiphaea pacifica,Juvenile,5,1,118.9,0.0421,14337.1,2.5,23924.72,1.0061
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,117849,Aglantha digitale, ,3,0.5,118.9,0.0505,3361.5,23.5,627.11,0.0316
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,13551,Anthoathecata, ,7,0.5,118.9,0.1177,1213.6,19.7,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,117562,Euphysa flammea, ,1,1,118.9,0.0084,1744.2,0,768.69,0.0065
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,103413,Oikopleura labradoriensis, ,15,0.125,118.9,1.0093,512.6,43.7,48.68,0.0491
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,180759,Primno macropa, ,3,1,118.9,0.0252,6745.8,3.4,9982.24,0.2519
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1035143,Solmundaegina nematophora, ,16,0.125,118.9,1.0765,7021.1,22.8,20022.11,21.5545
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1371,Siphonophorae, ,1,0.125,118.9,0.0673,20327.7,0,72125.52,4.8529
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,135333,Calycophorae, ,2,0.125,118.9,0.1346,3218.5,7,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,135335,Physonectae,Pneumatophore,3,1,118.9,0.0252,2807.9,102.1,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,1371,Siphonophorae, ,14,0.125,118.9,0.9420,3752.9,47.4,939.87,0.8853
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237851,Euphausia pacifica,Juvenile,29,1,118.9,0.2439,16551.2,6.1,62193.21,15.1691
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237851,Euphausia pacifica,AF,1,1,118.9,0.0084,14576.8,0,41667.64,0.3504
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,237851,Euphausia pacifica,AM,42,1,118.9,0.3532,15810,6.4,54108,19.1130
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,238010,Thalassocalyce, ,4,1,118.9,0.0336,2528.5,20.5,0,0.0000
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,104112,Aetideus,C6 AF,2,0.0625,77,0.4156,1566.7,0.4,383.4,0.1593
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196770,Calanus marshallae,C3,1,0.0625,77,0.2078,1376.4,0,164.23,0.0341
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196770,Calanus marshallae,C4,8,0.0625,77,1.6623,1801,5.6,385.33,0.6406
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196770,Calanus marshallae,C5,44,0.0625,77,9.1429,2605.3,7.1,1235.81,11.2988
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196770,Calanus marshallae,C6 AF,15,0.0625,77,3.1169,2931.4,4.4,1771.2,5.5206
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196771,Calanus pacificus,C4,1,0.0625,77,0.2078,1505.1,0,217.9,0.0453
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196771,Calanus pacificus,C5,6,0.0625,77,1.2468,1787,3.3,381.13,0.4752
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196771,Calanus pacificus,C6 AF,2,0.0625,77,0.4156,2194.2,1.6,738.5,0.3069
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196771,Calanus pacificus,C6 AM,10,0.0625,77,2.0779,1920.5,5.9,485.02,1.0078
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,104470,Neocalanus cristatus,C4,1,0.5,77,0.0260,3828.4,0,3203.23,0.0832
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196772,Neocalanus plumchrus,C5,1,0.25,77,0.0519,3899.1,0,3453.86,0.1794
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196774,Centropages abdominalis,C6 AF,4,0.0625,77,0.8312,1242.8,4.5,216.71,0.1801
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,104165,Pseudocalanus,C6 AF,4,0.0625,77,0.8312,884.2,25.9,50.3,0.0418
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196775,Eucalanus bungii,C3,11,0.125,77,1.1429,2637,4.4,432.83,0.4947
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196775,Eucalanus bungii,C4,45,0.125,77,4.6753,3417.4,4.8,971.82,4.5436
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196775,Eucalanus bungii,C5,11,0.125,77,1.1429,4452.9,4.4,2211.87,2.5279
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196784,Metridia pacifica,C5,29,0.0625,77,6.0260,1396.9,9.2,252.63,1.5223
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196784,Metridia pacifica,C6 AF,43,0.0625,77,8.9351,1779.9,7.9,528.86,4.7254
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,196784,Metridia pacifica,C6 AM,1,0.0625,77,0.2078,1285.8,0,190.72,0.0396
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,157737,Oithona spinirostris,C6 AF,3,0.0625,77,0.6234,786.3,6.6,69.91,0.0436
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,254330,Epilabidocera amphitrites,C6 AF,3,1,77,0.0390,2574,4.3,1177.67,0.0459
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,254330,Epilabidocera amphitrites,C6 AM,1,1,77,0.0130,2352.7,0,845.57,0.0110
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,105440,Parasagitta elegans, ,9,0.25,77,0.4675,13040.7,20.6,3895.11,1.8211
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,3,60,40,105440,Parasagitta elegans, ,26,1,77,0.3377,22437.4,7.2,19187.65,6.4789
