Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3]
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196770,Calanus marshallae,C5,24,0.0078125,108,28.4444,2613.8,8.1,1253.7,35.6607
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196770,Calanus marshallae,C6 AF,4,0.0078125,108,4.7407,2840.3,6.3,1610.2,7.6335
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196770,Calanus marshallae,C6 AM,2,0.0078125,108,2.3704,2911.2,14.9,1786.95,4.2357
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196771,Calanus pacificus,C5,2,0.125,108,0.1481,1587.4,5.7,260.39,0.0386
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196771,Calanus pacificus,C6 AM,1,0.125,108,0.0741,2209,0,754.41,0.0559
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104470,Neocalanus cristatus,C3,2,0.25,108,0.0741,2578.3,4.4,1014.57,0.0752
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104470,Neocalanus cristatus,C4,7,0.25,108,0.2593,4395.5,2.6,4798.96,1.2442
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104470,Neocalanus cristatus,C5,28,0.25,108,1.0370,6189.4,3.2,13030.9,13.5135
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,353708,Neocalanus flemingeri,C3,1,0.015625,108,0.5926,1939.2,0,441.12,0.2614
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,353708,Neocalanus flemingeri,C5,20,0.015625,108,11.8519,3293.2,8.7,2465.4,29.2195
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,353708,Neocalanus flemingeri,C6 AM,25,0.015625,108,14.8148,3080.1,4.8,1955.79,28.9746
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196772,Neocalanus plumchrus,C5,41,0.0625,108,6.0741,3720.2,5.3,3023.1,18.3626
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196774,Centropages abdominalis,C6 AF,2,0.125,108,0.1481,1392.1,4.8,308.6,0.0457
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196774,Centropages abdominalis,C6 AM,1,0.125,108,0.0741,1113,0,152.69,0.0113
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196775,Eucalanus bungii,C2,3,0.25,108,0.1111,2037.4,11.8,198.53,0.0221
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196775,Eucalanus bungii,C3,9,0.25,108,0.3333,2657,4.1,442.75,0.1476
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196775,Eucalanus bungii,C4,10,0.25,108,0.3704,3676.8,5.6,1222.97,0.4530
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196775,Eucalanus bungii,C5,7,0.25,108,0.2593,5301.5,5.3,3814.53,0.9890
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196775,Eucalanus bungii,C6 AF,32,0.25,108,1.1852,6110.5,6.3,5965.18,7.0698
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196779,Paraeuchaeta elongata,C6 AF,2,1,108,0.0185,4498,0.6,7841.41,0.1452
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196779,Paraeuchaeta elongata,C4,3,0.25,108,0.1111,2547.3,7.3,1256.77,0.1396
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196779,Paraeuchaeta elongata,C5,2,0.25,108,0.0741,3433.8,2.8,3271.71,0.2423
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196779,Paraeuchaeta elongata,C6 AM,1,0.25,108,0.0370,3822.7,0,4626.51,0.1714
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196783,Metridia okhotensis,C4,17,0.0625,108,2.5185,1347.5,7.5,247.68,0.6238
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196783,Metridia okhotensis,C5,27,0.0625,108,4.0000,1863.5,8.7,685.78,2.7431
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196783,Metridia okhotensis,C3,2,0.25,108,0.0741,897.1,23.9,74.9,0.0055
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196784,Metridia pacifica,C5,31,0.0078125,108,36.7407,1347.1,10.2,227.22,8.3482
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196784,Metridia pacifica,C6 AF,32,0.0078125,108,37.9259,2036.4,8.4,800.45,30.3579
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196784,Metridia pacifica,C6 AM,11,0.0078125,108,13.0370,1270.5,10,188.94,2.4632
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,196782,Heterorhabdus tanneri,C5,2,0.25,108,0.0741,1665.8,4.8,393.59,0.0292
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104784,Racovitzanus antarcticus,C5,1,0.25,108,0.0370,1499.6,0,225.79,0.0084
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,104784,Racovitzanus antarcticus,C6 AF,2,0.25,108,0.0741,1671.4,4.9,319.32,0.0237
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,349800,Candacia columbiae,C3,1,0.25,108,0.0370,1026.9,0,109.72,0.0041
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,349800,Candacia columbiae,C4,1,0.25,108,0.0370,1478.8,0,323.81,0.0120
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,349800,Candacia columbiae,C5,2,0.25,108,0.0741,2204.2,2.2,1059.16,0.0785
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,349800,Candacia columbiae,C6 AF,2,0.25,108,0.0741,3063,9.2,2844.66,0.2107
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,349800,Candacia columbiae,C6 AM,4,0.25,108,0.1481,2725.7,3.6,1993.1,0.2953
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,354841,Pleuromamma scutullata,C6 AF,1,0.25,108,0.0370,2546.5,0,1510.47,0.0559
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105440,Parasagitta elegans, ,1,0.25,108,0.0370,134082.3,0,4995314.5,185.0116
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105440,Parasagitta elegans,Mat. Stg. II,5,0.25,108,0.1852,12857.5,6.9,3362.19,0.6226
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105440,Parasagitta elegans,Mat. Stg. III,11,0.25,108,0.4074,15994.3,6.8,6653.06,2.7105
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105440,Parasagitta elegans,Mat. Stg. IV,2,0.25,108,0.0741,19150.8,3.5,11535.52,0.8545
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105440,Parasagitta elegans,Mat. Stg. V,2,0.25,108,0.0741,23167.5,1.1,20858.93,1.5451
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105416,Eukrohnia hamata,Mat. Stg. II,40,0.125,108,2.9630,10236,22.4,1587.37,4.7033
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,105416,Eukrohnia hamata,Mat. Stg. III,13,0.125,108,0.9630,16118.8,8.5,7083.57,6.8212
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,139178,Clione limacina, ,9,0.25,108,0.3333,4402.1,69.6,11759.55,3.9198
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,139178,Clione limacina, ,2,1,108,0.0185,11360.5,20.6,61651.75,1.1417
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,140223,Limacina helicina, ,57,0.0625,108,8.4444,1564.9,36.4,1258.3,10.6257
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,140223,Limacina helicina, ,11,1,108,0.1019,3609.4,9.6,10402.62,1.0595
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,103413,Oikopleura labradoriensis, ,14,0.0625,108,2.0741,1300.1,36.1,462.86,0.9600
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,101796,Hyperia, ,1,1,108,0.0093,2822.9,0,735.94,0.0068
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,254453,Themisto pacifica, ,2,0.25,108,0.0741,3463.9,1,1591.32,0.1179
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,428630,Cyphocaris challengeri, ,16,0.25,108,0.5926,4098,31,2102.2,1.2457
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,428630,Cyphocaris challengeri, ,2,1,108,0.0185,6661,1.8,6920.29,0.1282
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,106738,Paguridae,Zoea,1,1,108,0.0093,2057.8,0,3002.55,0.0278
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,148428,Oregoniinae,Zoea,4,1,108,0.0370,1066.8,30.9,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,1128,Euphausiacea,Calyptopis,12,0.125,108,0.8889,899.9,18.9,17.33,0.0154
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,1128,Euphausiacea,Furcilia,18,0.125,108,1.3333,1014.1,108,61,0.0813
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,127482,Halocyprididae, ,8,0.125,108,0.5926,1464.8,20.6,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,127482,Halocyprididae, ,2,1,108,0.0185,2584.9,13,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,883,Polychaeta,Larvae,1,1,108,0.0093,7639.1,0,679.07,0.0063
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,131568,Tomopteris septentrionalis, ,2,1,108,0.0185,13704.4,14.7,18246.99,0.3379
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,1082,Cirripedia,Cypris,8,0.125,108,0.5926,1535.3,4.7,463.04,0.2744
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,101,Gastropoda,Echinospira,7,1,108,0.0648,1358.7,14.3,610.64,0.0396
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,135418,Dimophyes arctica,Anterior nectophore,2,0.125,108,0.1481,3119.1,15.7,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,135418,Dimophyes arctica,Posterior nectophore,2,0.125,108,0.1481,4373.3,27.7,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,135418,Dimophyes arctica,Eudoxid bract,2,0.125,108,0.1481,2974.6,47,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,135418,Dimophyes arctica,Eudoxid bract with gonophore,2,0.125,108,0.1481,3634.1,30.1,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,10194,Actinopterygii,Egg,4,1,108,0.0370,1336,17.8,1445.08,0.0535
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,10194,Actinopterygii,Larvae,1,1,108,0.0093,10814.5,0,3811.35,0.0353
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,514245,Pasiphaea pacifica,Juvenile,3,1,108,0.0278,37000,2.7,403031.38,11.1953
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,117849,Aglantha digitale, ,1,1,108,0.0093,9441.7,0,11396.71,0.1055
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,1599,Corynidae, ,14,1,108,0.1296,2789.6,52.9,2890.11,0.3746
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,106277,Podon leuckartii, ,1,0.25,108,0.0370,1594.7,0,1642.7,0.0608
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,103413,Oikopleura labradoriensis, ,4,0.0625,108,0.5926,1605.9,40.7,783.69,0.4644
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,353708,Neocalanus flemingeri,C5,24,0.0625,108,3.5556,3710.2,4.4,3908.63,13.8973
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,1,200,100,123084,Ophiuroidea,Post-pluteus,4,0.125,108,0.2963,1051.9,7.1,0,0.0000
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104257,Acartia longiremis,C6 AF,2,0.015625,67.5,1.8963,962.9,20.9,65.57,0.1243
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104112,Aetideus,C6 AF,2,0.25,67.5,0.1185,1408.9,1.7,274.46,0.0325
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104115,Bradyidius,C6 AF,1,1,67.5,0.0148,2021.5,0,856.47,0.0127
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196770,Calanus marshallae,C3,4,0.015625,67.5,3.7926,1565,5.8,247.84,0.9399
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196770,Calanus marshallae,C4,39,0.015625,67.5,36.9778,2000.2,6.3,537.56,19.8777
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196770,Calanus marshallae,C5,9,0.015625,67.5,8.5333,2688.5,5.2,1352.81,11.5440
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196770,Calanus marshallae,C6 AF,4,0.015625,67.5,3.7926,3136,4.7,2187.7,8.2971
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196770,Calanus marshallae,C6 AM,1,0.015625,67.5,0.9481,2754.9,0,1448.81,1.3737
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104470,Neocalanus cristatus,C4,1,0.25,67.5,0.0593,4370.1,0,4711.24,0.2792
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104470,Neocalanus cristatus,C5,11,0.25,67.5,0.6519,6427.3,2.8,14533.16,9.4735
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104470,Neocalanus cristatus,C6 AF,1,0.25,67.5,0.0593,6414.4,0,14420.08,0.8545
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,353708,Neocalanus flemingeri,C4,2,0.0625,67.5,0.4741,2376,0,845.34,0.4008
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,353708,Neocalanus flemingeri,C5,23,0.0625,67.5,5.4519,3476.9,6.5,2901.88,15.8206
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196772,Neocalanus plumchrus,C4,1,0.0625,67.5,0.2370,2786.5,0,1256.2,0.2978
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196772,Neocalanus plumchrus,C5,11,0.0625,67.5,2.6074,3715.7,7.5,3033.25,7.9089
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196774,Centropages abdominalis,C6 AF,1,0.0625,67.5,0.2370,1425,0,330.76,0.0784
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,104165,Pseudocalanus,C6 AF,8,0.015625,67.5,7.5852,1283.4,7.1,140.19,1.0633
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196775,Eucalanus bungii,C3,10,0.0625,67.5,2.3704,2692.5,8,467.79,1.1088
SKQ202006,Multinet,0.5,Oblique,500,2020-05-10T03:59:00-0800,2020-05-10T04:33:00-0800,-149.4677,59.8445,269,GAK01,2,100,60,196775,Eucalanus bungii,C4,4,0.0625,67.5,0.9481,3638.6,4.3,1177.75,1.1167
